Sales of Wheat in tons,pca_1,pca_2
Afghanistan,744.815213037951,-235.63641879897
Albania,-595.8655915098896,6.105249495189923
Algeria,-551.3037601241458,45.952014747795836
American Samoa,-700.7005840706474,8.865201851803
Andorra,-645.4238186808047,1.5369703049857506
Angola,998.9099209414564,-340.20677609451724
Anguilla,-601.3933989548212,25.477010240867713
Antigua and Barbuda,-706.5641477384954,19.82871222432885
Argentina,-493.3577757294516,-53.413078252652056
Armenia,-433.7969784449772,85.26150041763721
Australia,-725.1027692653487,28.83507637263618
Austria,-698.7725209564137,20.25174634003322
Azerbaijan,-388.47437332602635,88.38177833343742
Bahamas,-535.8048094771443,22.465579558023023
Bahrain,-429.37705437630154,-72.03799696671358
Bangladesh,1432.4272894535593,-296.38295803012005
Barbados,-730.0782229722857,24.650536251250518
Belarus,-411.5727583559193,44.259459981861596
Belgium,-698.4765851053932,23.012153921615685
Belize,-549.1806292173675,-5.3771649856377834
Benin,-190.58381880556584,29.212791868259053
Bermuda,-721.129436259137,25.14936667255479
Bhutan,1736.6985229306115,-629.9334109509987
Bolivia,378.5893153922759,-213.11878564476478
Bosnia and Herzegovina,-325.73076889584877,-141.1340436437312
Botswana,1152.2579679272076,454.3809397927352
Brazil,-379.3836487466423,-55.880035974496266
British Virgin Islands,-662.3017628096972,10.863878530066831
Brunei Darussalam,-400.86121030322266,-12.701520231806573
Bulgaria,-526.2115112298272,14.237202795824505
Burkina Faso,566.4813132162463,380.09408048557384
Burundi,1159.99308174421,606.2607430487326
Cambodia,2548.4005481082504,-315.41580925034253
Cameroon,141.01484130036147,66.4135925127943
Canada,-730.7737036515692,26.343292333237102
Cape Verde,828.0324972776436,-169.62537859973207
Cayman Islands,-722.0801797932331,24.161729048945432
Central African Republic,1032.769526940612,311.9082979523852
Chad,974.8986421718344,431.15588940079164
Chile,-646.1526417011228,-8.838265216830287
China,390.7995245838631,-141.0030086003751
Colombia,-475.35267969429896,-23.242386313211682
Comoros,-208.95209215215675,-97.59513332226024
"Congo, Rep.",840.21535851111,411.77976542249985
Cook Islands,-667.9699122350062,10.094141134479912
Costa Rica,-670.4085584909969,4.309931549425368
Croatia,-367.46797721877056,-69.83451008645639
Cuba,-683.1076293054007,0.30519482876816895
Cyprus,-714.0716147742115,19.58664428802122
Czech Republic,-680.9365750541982,11.296929212448589
Cote d'Ivoire,1114.5936499229601,538.1311815798796
"Korea, Dem. Rep.",2156.296836269542,-519.304565638777
"Congo, Dem. Rep.",1455.4827231746417,658.651352707637
Denmark,-716.891642361582,23.33625516692748
Djibouti,729.2795289032096,593.9927630270685
Dominica,-664.0401008466328,22.73453398690764
Dominican Republic,-222.53672648842036,-100.2329014609509
Ecuador,112.69120699297801,-153.6414109561951
Egypt,-587.7599060545881,-2.258210296135733
El Salvador,-403.670900246074,-82.06780549226313
Equatorial Guinea,502.5900244100851,448.024335520145
Eritrea,-5.728499313135737,-200.6004673715791
Estonia,-466.7628783511634,3.303668597401547
Ethiopia,1238.598557580108,446.0940836657579
Fiji,-561.7389976282495,-22.850018450790472
Finland,-716.4497336327981,20.86314969200062
France,-690.5375082613343,17.708683756403214
French Polynesia,-523.4235832254194,-58.58684068678218
Gabon,648.3237717428453,19.891228244692595
Gambia,828.8742778884491,100.4039533299326
Georgia,-420.5754828624448,89.58433295644784
Germany,-710.1157234003074,15.999692111960112
Ghana,982.1109159589496,-221.56541188023624
Greece,-663.0104346931887,12.58246441185161
Grenada,-722.9602886177598,30.424532796365714
Guam,-437.85815752560416,-93.05021168057901
Guatemala,-348.2527458476345,-8.133278364891227
Guinea,628.3097188506803,282.0913387317903
Guinea-Bissau,707.6757254744084,-197.67025275981743
Guyana,-369.41224435398095,180.89869806623273
Haiti,996.9989715795864,-120.8700539360734
Honduras,-339.7912219583177,-77.26676896121177
Hungary,-533.978430172372,-50.40029921165069
Iceland,-738.7802293914181,28.03836077007339
India,1155.3401076743871,-407.7917063203877
Indonesia,690.8146285169171,-234.51197959218888
Iran,-566.7813823740901,-10.855214571838225
Iraq,-415.20840233899617,-0.9430352283911851
Ireland,-697.5848920226545,18.780538201172533
Israel,-719.9484193023445,24.387105766771086
Italy,-719.7065452581994,24.531660681147457
Jamaica,-718.9789881140211,26.056069459500485
Japan,-558.9715156359673,-12.558112116413863
Jordan,-696.9835428741853,14.475962995395275
Kazakhstan,-221.77342584765722,131.73907698944373
Kenya,457.67203424741626,433.9258319492036
Kiribati,1754.1371918428285,-300.55828514589325
Kuwait,-534.6491856776086,-64.54704860547756
Kyrgyzstan,-197.01818928167694,104.26936108321343
Laos,768.9097330037259,-175.04237141098173
Latvia,-433.82191073011074,37.83465839061418
Lebanon,-568.6078192374166,-43.12404266715176
Lesotho,677.6092975904005,400.1507670398116
Liberia,1063.7431695751989,-95.71619172940069
Libyan Arab Jamahiriya,-621.1408865139673,-17.166820747171556
Lithuania,-380.58751529876986,18.684016700981743
Luxembourg,-697.6055387427035,18.563584588020415
Madagascar,824.582931345948,65.51836893693955
Malawi,730.1077357735358,-22.721744852151065
Malaysia,-136.8934398289789,-28.45115531712004
Maldives,-366.8258020503613,-55.67087396879723
Mali,1747.6568847721176,-40.47556764108198
Malta,-724.1901066462129,24.421983097194456
Mauritania,1769.419154257726,-11.109416054092648
Mauritius,-560.1994500771848,7.610745948413609
Mexico,-522.6721109595876,-70.31569317607146
"Micronesia, Fed. Sts.",86.76142015172094,-182.28341629139192
Monaco,-742.0695186408223,28.974585694329555
Mongolia,688.960707118426,-396.16713068584033
Montserrat,-698.9402502698188,25.56578776654333
Morocco,-311.4790346228729,-42.282849540604545
Mozambique,1135.1504034578015,406.9441198014108
Myanmar,437.50641919513504,-352.4619050195625
Namibia,1602.5897970707929,-170.61358207749385
Nauru,-82.91175754033513,-249.02448230635142
Nepal,985.717034362219,-567.1452796267621
Netherlands,-719.9484193023445,24.387105766771086
Netherlands Antilles,-668.8906281967602,13.544876833615518
New Caledonia,-495.5150086588634,-82.88966199335619
New Zealand,-710.9423859107112,29.386181202004664
Nicaragua,-350.5716352202062,-76.20507681760407
Niger,509.99963433480673,-41.39622295610159
Nigeria,1129.5081889491744,433.18971827155144
Niue,-400.3250445233044,-65.0412692256833
Northern Mariana Islands,-40.51176032852534,-203.78079588081425
Norway,-728.1782662540983,25.31285826474405
Oman,-673.2195186125459,1.6829568019479169
Pakistan,870.9238786934659,-186.47368753834047
Palau,-220.8431449585928,-119.78620356338925
Panama,-499.95366117077907,-16.268210147846553
Papua New Guinea,1286.2693877619654,-57.37026207197176
Paraguay,-384.96943938839706,12.01644791708563
Peru,271.16545365444017,-288.37933078320805
Philippines,1978.7456846735288,-411.89117462898616
Poland,-502.35999532646997,-65.00897963559153
Portugal,-593.0706653435941,-3.528723622040957
Puerto Rico,-704.035611212452,10.533685983459993
Qatar,-427.38922021543993,25.372365943370035
"Korea, Rep.",-198.42969985335307,-64.09640926808436
Moldova,-96.13474707369738,123.27955199374543
Romania,-69.72712683698445,68.24040843785238
Russian Federation,-240.18342107000797,119.5526453174671
Rwanda,953.612339379377,654.692409194084
Saint Kitts and Nevis,-691.4083655240756,25.2274120259595
Saint Lucia,-665.0497120332254,17.714791026938308
Saint Vincent and the Grenadines,-585.5137988692618,15.247669802355603
Samoa,-618.7740905992689,16.334658493523882
San Marino,-724.6562928352834,25.55036948497043
Sao Tome and Principe,455.45861515015406,-96.91775198727657
Saudi Arabia,-476.6954910239305,25.443641957208847
Senegal,997.8625529076965,154.23860891845632
Seychelles,-435.6438903579258,-58.4509710573578
Sierra Leone,2021.4207187358047,626.0849296430824
Singapore,-575.7660194371783,-8.91074764981116
Slovakia,-587.8139277171831,-28.681620982733328
Slovenia,-602.2733060698907,-40.47904021651594
Solomon Islands,804.9346186300688,-561.8580401953288
Somalia,1160.4568765231238,-371.242272214874
South Africa,1790.6338508155998,42.322458687617655
Spain,-622.5357835618327,3.6994860424126053
Sri Lanka,-352.95590424511965,-5.169251083058626
Sudan,911.0107178283547,-26.280892021989686
Suriname,-286.9547963296794,107.31426846331189
Swaziland,1953.6643165173475,493.50540440215923
Sweden,-733.1082994197774,28.68139998034282
Switzerland,-717.3922969130008,19.48885878490107
Syrian Arab Republic,-520.8374070450518,-64.9904543250881
Tajikistan,59.08333891611905,299.91298769475725
Thailand,292.14382437643803,-193.98100622154863
"Macedonia, FYR",-492.17077202453174,-64.09035439873114
Timor-Leste,1628.8678735733693,-495.4181641823801
Togo,2101.958577432407,102.09332772041476
Tokelau,-452.42887917842177,-161.9237518233402
Tonga,-592.3760807639632,14.49127088721708
Trinidad and Tobago,-685.9790526420197,27.747651505755996
Tunisia,-591.4650108916726,-11.778215107359074
Turkey,-511.831397165358,-32.7512446723979
Turkmenistan,-312.408898715148,27.64748073212781
Turks and Caicos Islands,-638.3714154495544,0.1697291521910671
Tuvalu,1082.998616534826,-404.74161900200386
Uganda,915.676579892647,223.91586951862905
Ukraine,-332.21611515025654,117.94696132031186
United Arab Emirates,-616.6816101170471,0.3081742644973744
United Kingdom,-711.6517010335011,32.57074508587765
Tanzania,595.9963102625562,234.58528881266716
Virgin Islands (U.S.),-666.0089038415402,13.684918227540116
United States of America,-731.7201558607633,24.708311757138183
Uruguay,-633.5085371227927,15.656927033832435
Uzbekistan,-204.99015919646502,87.04159572708112
Vanuatu,34.23603022676075,-225.44175009930794
Venezuela,-579.0256684356809,20.888289999036985
Viet Nam,445.0070503107029,-208.4911640848375
Wallis et Futuna,-218.68682290866454,-110.47646064005717
West Bank and Gaza,-568.6024186526178,-4.485885449629954
Yemen,70.1945513118753,-189.10516018851
Zambia,1519.3875549527468,-45.41096010382569
Zimbabwe,1425.2236805468228,421.5649344365446
